2487,4354,13335,43066,372616,0
481,269,1107,406,1022,0
882,128,142,139,342,0
603,238,377,387,881,0
840,351,505,592,1358,0
114,50,52,76,276,0
7494,3747,3778,3143,5474,0
2493,1617,1253,1295,1768,0
85,23,30,44,177,0
883,302,304,371,865,0
496,213,251,359,1141,0
238,63,92,120,268,0
235667,216616,36987,17795,163477,0
266,75,115,180,761,0
4953,2003,1964,1620,2976,0
8349,4701,3269,3592,13436,0
1096,125,133,170,355,0
45,17,20,21,61,0
426,59,58,77,142,0
430,93,113,146,242,0
880,275,280,269,544,0
345,123,164,219,646,0
10703,3524,3374,2942,5961,0
375,128,190,335,751,0
465,326,476,734,2326,0
9060,6470,4187,2815,4829,0
60,15,29,42,120,0
11039,5206,5417,4716,8408,0
658,405,500,842,2505,0
555,131,200,281,707,0
208903,141969,41246,18389,23532,0
62,17,26,35,99,0
4,1,1,1,7,0
75374,70280,106222,141496,355596,0
339,185,377,683,2866,0
418,94,124,153,264,0
503,91,84,104,260,0
238,80,101,128,367,0
87,53,84,133,353,0
6,3,4,6,23,0
99,40,50,56,165,0
88800,48403,34577,28599,49413,0
282,189,332,598,2435,0
199341,114539,39891,18248,25563,0
1240,477,718,1066,4087,0
67983,9846,25738,14092,26082,0
2,3,5,10,93,0
282,121,271,632,2420,0
16,11,16,31,115,0
347,102,144,156,458,0
6542,5654,3832,2304,2903,0
8188,3871,2781,2383,7897,0
723,148,191,225,545,0
296,266,406,668,3053,0
5,3,4,1,3,0
564,132,147,155,329,0
1687,2334,5474,7059,13582,0
11,4,7,12,43,0
2462,4738,1359,1330,1221,0
132,30,49,82,469,0
39,6,7,5,20,0
474,83,86,82,262,0
130415,89226,50517,64266,120728,0
343,55,52,63,160,0
644280,254452,212637,199753,380630,0
344,85,76,104,246,0
998,601,445,339,271,0
0,0,0,0,0,0
474,202,271,391,999,0
2,1,2,1,3,0
543,90,120,118,308,0
533,107,141,162,398,0
9610,7140,3975,3341,5250,0
2,2,0,0,5,0
40607,19033,17088,15469,28469,0
73149,77230,105494,133813,385395,0
1,3,3,14,93,0
0,0,0,1,3,0
28127,6292,6527,6857,14008,0
